score,may_23,jun_23,jul_23,aug_23,sept_23,oct_23,nov_23,dec_23,jan_24
"(0, 100]",19.08,20.3,8.33,20.59,16.22,24.71,20.74,16.67,22.37
"(100, 200]",21.71,22.56,38.89,32.35,23.42,22.35,24.88,24.29,29.61
"(200, 300]",15.79,12.03,2.78,8.82,17.12,13.53,13.82,17.14,13.82
"(300, 400]",9.21,11.28,5.56,2.94,10.81,11.76,8.29,11.9,7.89
"(400, 500]",7.89,8.27,5.56,2.94,9.01,7.06,7.83,8.57,3.95
"(500, 600]",5.26,9.77,16.67,2.94,2.7,5.29,4.61,3.81,4.61
"(600, 700]",7.24,6.02,16.67,8.82,6.31,7.65,13.36,6.67,6.58
"(700, 800]",13.82,9.77,5.56,20.59,14.41,7.65,6.45,10.95,11.18
