,bin,new_obs,new_obs_perc,old_obs,old_obs_perc,PSI
0,0-100,12293.0,45.28809313292072,109620.0,32.58804748187323,0.04179566909792839
1,100-200,8685.0,31.99602122015915,103327.0,30.7172521634694,0.0005215728359694228
2,200-300,3117.0,11.483200707338638,50773.0,15.093896504261537,0.009871833596260069
3,300-500,2028.0,7.471264367816093,39115.0,11.628183518094067,0.01838886018536581
4,500-700,597.0,2.1993810786914234,14031.0,4.17116305617737,0.012619777605853788
5,700-800,424.0,1.5620394930739758,5843.0,1.737018440399428,0.00018578874193200207
6,800-850,0.0,0.0,3240.0,0.9631935216317212,0.0
7,850-900,0.0,0.0,2939.0,0.8737116543443298,0.0
8,900-950,0.0,0.0,3854.0,1.1457246396199547,0.0
9,950-1000,0.0,0.0,3639.0,1.081809020128961,0.0
