,bin,new_obs,new_obs_perc,old_obs,old_obs_perc,PSI
0,0-100,7965.0,45.24282874183471,109620.0,32.58804748187323,0.04152015980028564
1,100-200,5188.0,29.468900880431697,103327.0,30.7172521634694,0.0005179279225315823
2,200-300,1886.0,10.712865663163875,50773.0,15.093896504261537,0.015020146917663103
3,300-500,1349.0,7.662595853450724,39115.0,11.628183518094067,0.01653971087907374
4,500-700,388.0,2.203919341096279,14031.0,4.17116305617737,0.01255018105163091
5,700-800,264.0,1.499573984663448,5843.0,1.737018440399428,0.000349017340009579
6,800-850,162.0,0.9201931269525702,3240.0,0.9631935216317212,1.96386156692966e-05
7,850-900,125.0,0.7100255609201931,2939.0,0.8737116543443298,0.0003395658769647403
8,900-950,157.0,0.8917921045157626,3854.0,1.1457246396199547,0.0006362522175394802
9,950-1000,121.0,0.687304742970747,3639.0,1.081809020128961,0.0017895193669891108
