,bin,new_obs,new_obs_perc,old_obs,old_obs_perc,PSI
0,0-100,13679.0,47.11535149657286,109620.0,32.58804748187323,0.05355538602085124
1,100-200,9193.0,31.663968587469434,103327.0,30.7172521634694,0.0002873752055661855
2,200-300,2933.0,10.102297385733475,50773.0,15.093896504261537,0.020042647901501853
3,300-500,1960.0,6.750938587124995,39115.0,11.628183518094067,0.026520030034259283
4,500-700,858.0,2.9552578100781868,14031.0,4.17116305617737,0.004190119090104014
5,700-800,410.0,1.412186133021045,5843.0,1.737018440399428,0.0006725040641390669
6,800-850,0.0,0.0,3240.0,0.9631935216317212,0.0
7,850-900,0.0,0.0,2939.0,0.8737116543443298,0.0
8,900-950,0.0,0.0,3854.0,1.1457246396199547,0.0
9,950-1000,0.0,0.0,3639.0,1.081809020128961,0.0
